Date,Description,Amount
2024-01-02,BLUE BOTTLE COFFEE SUB,-5.50
2024-01-03,PAYPAL *SPOTIFY,-9.99
2024-01-05,UBER *EATS 8005928996,-23.40
2024-01-06,NETFLIX.COM,-15.99
2024-01-08,AMZN MKTP US*2X4Y11,-56.10
2024-01-09,BLUE BOTTLE COFFEE SUB,-5.50
2024-01-10,POS DEBIT WHOLEFDS MKT #123,-84.20
2024-01-12,SP DIGITALOCEAN.COM,-12.00
2024-01-15,PLANET FITNESS,-42.00
2024-01-16,BLUE BOTTLE COFFEE SUB,-5.50
2024-01-18,TST* THE DAILY GRIND,-6.75
2024-01-22,UBER *TRIP HELP.UBER.COM,-14.20
2024-01-23,BLUE BOTTLE COFFEE SUB,-5.50
2024-01-25,POS DEBIT WHOLEFDS MKT #123,-91.40
2024-01-28,AMZN MKTP US*4F8H22,-32.99
2024-01-30,BLUE BOTTLE COFFEE SUB,-5.50
2024-02-03,PAYPAL *SPOTIFY,-9.99
2024-02-04,UBER *EATS 8005928996,-19.80
2024-02-06,NETFLIX.COM,-15.99
2024-02-06,BLUE BOTTLE COFFEE SUB,-5.50
2024-02-09,AMZN MKTP US*7K2L09,-44.50
2024-02-11,POS DEBIT WHOLEFDS MKT #123,-78.60
2024-02-12,SP DIGITALOCEAN.COM,-12.00
2024-02-13,BLUE BOTTLE COFFEE SUB,-5.50
2024-02-15,PLANET FITNESS,-42.00
2024-02-19,TST* THE DAILY GRIND,-6.75
2024-02-20,BLUE BOTTLE COFFEE SUB,-5.50
2024-02-21,UBER *TRIP HELP.UBER.COM,-11.90
2024-02-24,POS DEBIT WHOLEFDS MKT #123,-102.30
2024-02-27,BLUE BOTTLE COFFEE SUB,-5.50
2024-02-27,SQ *COFFEE ROASTERS,-4.50
2024-03-02,UBER *EATS 8005928996,-27.10
2024-03-03,PAYPAL *SPOTIFY,-9.99
2024-03-05,BLUE BOTTLE COFFEE SUB,-5.50
2024-03-06,NETFLIX.COM,-19.99
2024-03-08,AMZN MKTP US*9P1Q77,-67.20
2024-03-10,POS DEBIT WHOLEFDS MKT #123,-88.90
2024-03-12,SP DIGITALOCEAN.COM,-12.00
2024-03-12,BLUE BOTTLE COFFEE SUB,-5.50
2024-03-14,TST* THE DAILY GRIND,-6.75
2024-03-15,PLANET FITNESS,-42.00
2024-03-19,BLUE BOTTLE COFFEE SUB,-5.50
2024-03-20,UBER *TRIP HELP.UBER.COM,-16.40
2024-03-23,POS DEBIT WHOLEFDS MKT #123,-95.10
2024-03-26,BLUE BOTTLE COFFEE SUB,-5.50
2024-03-27,SQ *COFFEE ROASTERS,-4.50
